# C+CO2(ji) -> C+CO2(jf) molscat cross sections, CS8_JMAX90 approx. (written on 08/06/2020); 
# E=21240.000000 (1/cm) = 2.63342435263 eV
# ji  jf sigma(ji,jf) (1e-16 cm^2)
  0    0 1.55406e+02
  0    2 2.28122e+01
  0    4 7.25543e+00
  0    6 2.49409e+00
  0    8 1.85980e+00
  0   10 1.71518e+00
  0   12 1.15374e+00
  0   14 1.27720e+00
  0   16 1.25518e+00
  0   18 9.23388e-01
  0   20 1.04701e+00
  0   22 9.14826e-01
  0   24 7.29011e-01
  0   26 6.83040e-01
  0   28 8.20747e-01
  0   30 6.21620e-01
  0   32 5.87007e-01
  0   34 5.50653e-01
  0   36 5.95022e-01
  0   38 7.06268e-01
  0   40 5.59581e-01
  0   42 6.59785e-01
  0   44 5.18204e-01
  0   46 5.68409e-01
  0   48 5.91549e-01
  0   50 6.12295e-01
  0   52 6.77626e-01
  0   54 6.30502e-01
  0   56 7.30735e-01
  0   58 7.08859e-01
  0   60 4.74047e-01
  0   62 5.73182e-01
  0   64 4.93340e-01
  0   66 4.74889e-01
  0   68 3.86580e-01
  0   70 3.35626e-01
  0   72 4.40254e-01
  0   74 3.82739e-01
  0   76 5.81300e-01
  0   78 4.79151e-01
  0   80 3.99609e-01
  0   82 5.13113e-01
  0   84 3.25303e-01
  0   86 5.63408e-01
  0   88 2.85789e-01
  0   90 5.38490e-01
  1    1 1.64569e+02
  1    3 1.68489e+01
  1    5 5.20855e+00
  1    7 2.25781e+00
  1    9 1.83809e+00
  1   11 1.47700e+00
  1   13 1.18137e+00
  1   15 1.22492e+00
  1   17 1.10033e+00
  1   19 9.10725e-01
  1   21 8.83634e-01
  1   23 7.97975e-01
  1   25 6.76409e-01
  1   27 7.72359e-01
  1   29 7.16904e-01
  1   31 6.44924e-01
  1   33 6.58159e-01
  1   35 6.04230e-01
  1   37 6.13775e-01
  1   39 6.35295e-01
  1   41 5.97598e-01
  1   43 5.95818e-01
  1   45 5.26541e-01
  1   47 6.56665e-01
  1   49 6.30276e-01
  1   51 5.91270e-01
  1   53 6.73489e-01
  1   55 6.89492e-01
  1   57 7.50295e-01
  1   59 5.58558e-01
  1   61 5.48461e-01
  1   63 5.16671e-01
  1   65 4.47575e-01
  1   67 4.93873e-01
  1   69 3.90584e-01
  1   71 4.61919e-01
  1   73 3.88197e-01
  1   75 5.84113e-01
  1   77 4.55081e-01
  1   79 4.92765e-01
  1   81 4.66134e-01
  1   83 3.59034e-01
  1   85 5.88083e-01
  1   87 2.81623e-01
  1   89 5.40690e-01
  2    0 4.56295e+00
  2    2 1.63979e+02
  2    4 1.43993e+01
  2    6 4.55920e+00
  2    8 2.12507e+00
  2   10 1.63820e+00
  2   12 1.38750e+00
  2   14 1.20667e+00
  2   16 1.18786e+00
  2   18 1.04064e+00
  2   20 9.74157e-01
  2   22 8.59093e-01
  2   24 7.49158e-01
  2   26 7.01434e-01
  2   28 7.00997e-01
  2   30 6.40531e-01
  2   32 6.52011e-01
  2   34 6.51443e-01
  2   36 6.09232e-01
  2   38 6.40590e-01
  2   40 5.62216e-01
  2   42 6.15550e-01
  2   44 5.40181e-01
  2   46 5.91766e-01
  2   48 5.90180e-01
  2   50 5.86192e-01
  2   52 6.18328e-01
  2   54 6.90666e-01
  2   56 7.15436e-01
  2   58 6.57185e-01
  2   60 5.24974e-01
  2   62 5.67690e-01
  2   64 5.12290e-01
  2   66 4.48132e-01
  2   68 4.19761e-01
  2   70 3.51038e-01
  2   72 4.67646e-01
  2   74 4.03040e-01
  2   76 5.46164e-01
  2   78 4.94373e-01
  2   80 4.94483e-01
  2   82 4.66638e-01
  2   84 3.37436e-01
  2   86 5.68676e-01
  2   88 2.74520e-01
  2   90 5.83397e-01
  3    1 7.22227e+00
  3    3 1.63379e+02
  3    5 1.33441e+01
  3    7 4.31011e+00
  3    9 1.99803e+00
  3   11 1.62358e+00
  3   13 1.42714e+00
  3   15 1.11158e+00
  3   17 1.13790e+00
  3   19 1.02429e+00
  3   21 8.90138e-01
  3   23 8.19677e-01
  3   25 7.59284e-01
  3   27 7.27716e-01
  3   29 6.76180e-01
  3   31 6.69809e-01
  3   33 7.25134e-01
  3   35 6.49432e-01
  3   37 5.65599e-01
  3   39 5.86000e-01
  3   41 5.80527e-01
  3   43 5.77601e-01
  3   45 5.62213e-01
  3   47 6.34888e-01
  3   49 5.97160e-01
  3   51 5.91992e-01
  3   53 6.59131e-01
  3   55 7.16723e-01
  3   57 6.73805e-01
  3   59 5.96249e-01
  3   61 5.65748e-01
  3   63 5.25495e-01
  3   65 4.25941e-01
  3   67 5.63395e-01
  3   69 3.95714e-01
  3   71 4.24775e-01
  3   73 4.23335e-01
  3   75 5.06642e-01
  3   77 5.13799e-01
  3   79 4.77181e-01
  3   81 5.59215e-01
  3   83 3.22947e-01
  3   85 5.64046e-01
  3   87 2.70637e-01
  3   89 5.47009e-01
  4    0 8.06455e-01
  4    2 8.00167e+00
  4    4 1.63281e+02
  4    6 1.28344e+01
  4    8 3.97614e+00
  4   10 1.91572e+00
  4   12 1.55253e+00
  4   14 1.34724e+00
  4   16 1.12117e+00
  4   18 1.10781e+00
  4   20 1.01009e+00
  4   22 8.53574e-01
  4   24 8.07753e-01
  4   26 7.54978e-01
  4   28 7.03826e-01
  4   30 6.28032e-01
  4   32 6.61463e-01
  4   34 7.10644e-01
  4   36 6.27068e-01
  4   38 6.01845e-01
  4   40 5.92804e-01
  4   42 6.67068e-01
  4   44 5.62823e-01
  4   46 5.69690e-01
  4   48 5.81025e-01
  4   50 6.10316e-01
  4   52 6.45162e-01
  4   54 6.73530e-01
  4   56 6.49526e-01
  4   58 6.27469e-01
  4   60 5.89717e-01
  4   62 5.18299e-01
  4   64 5.11737e-01
  4   66 4.40258e-01
  4   68 4.84074e-01
  4   70 3.62865e-01
  4   72 4.54429e-01
  4   74 3.95952e-01
  4   76 4.56869e-01
  4   78 5.19748e-01
  4   80 4.50628e-01
  4   82 5.36925e-01
  4   84 3.32948e-01
  4   86 5.46755e-01
  4   88 2.77462e-01
  4   90 5.60242e-01
  5    1 1.42125e+00
  5    3 8.49449e+00
  5    5 1.63284e+02
  5    7 1.23730e+01
  5    9 3.90735e+00
  5   11 1.90522e+00
  5   13 1.52930e+00
  5   15 1.31934e+00
  5   17 1.11391e+00
  5   19 1.04186e+00
  5   21 9.40664e-01
  5   23 8.29698e-01
  5   25 7.79844e-01
  5   27 7.73502e-01
  5   29 6.65983e-01
  5   31 7.05677e-01
  5   33 6.67959e-01
  5   35 6.68767e-01
  5   37 6.09198e-01
  5   39 5.99539e-01
  5   41 6.28221e-01
  5   43 5.70001e-01
  5   45 5.70824e-01
  5   47 6.00613e-01
  5   49 6.40448e-01
  5   51 6.13399e-01
  5   53 6.22728e-01
  5   55 7.15110e-01
  5   57 6.13865e-01
  5   59 6.14981e-01
  5   61 5.45323e-01
  5   63 5.39368e-01
  5   65 4.52989e-01
  5   67 5.31594e-01
  5   69 4.16782e-01
  5   71 4.49683e-01
  5   73 4.15569e-01
  5   75 4.66720e-01
  5   77 5.69492e-01
  5   79 4.43566e-01
  5   81 5.86557e-01
  5   83 3.44938e-01
  5   85 5.46102e-01
  5   87 3.16874e-01
  5   89 5.22270e-01
  6    0 1.92001e-01
  6    2 1.75470e+00
  6    4 8.88897e+00
  6    6 1.63262e+02
  6    8 1.21462e+01
  6   10 3.79641e+00
  6   12 1.84653e+00
  6   14 1.46339e+00
  6   16 1.30814e+00
  6   18 1.05449e+00
  6   20 1.01396e+00
  6   22 9.18339e-01
  6   24 8.43266e-01
  6   26 7.87353e-01
  6   28 7.52488e-01
  6   30 6.55182e-01
  6   32 6.60925e-01
  6   34 6.73962e-01
  6   36 6.71217e-01
  6   38 5.87102e-01
  6   40 6.31125e-01
  6   42 6.12194e-01
  6   44 5.95514e-01
  6   46 5.69536e-01
  6   48 5.93348e-01
  6   50 6.29498e-01
  6   52 6.26007e-01
  6   54 6.37819e-01
  6   56 6.10826e-01
  6   58 6.44713e-01
  6   60 5.70171e-01
  6   62 5.04286e-01
  6   64 5.56983e-01
  6   66 4.37894e-01
  6   68 5.23594e-01
  6   70 3.91872e-01
  6   72 4.69587e-01
  6   74 3.82160e-01
  6   76 4.60572e-01
  6   78 5.52266e-01
  6   80 4.26787e-01
  6   82 6.10652e-01
  6   84 3.27046e-01
  6   86 5.42760e-01
  6   88 2.72453e-01
  6   90 5.49207e-01
  7    1 4.52010e-01
  7    3 2.01301e+00
  7    5 9.07785e+00
  7    7 1.63272e+02
  7    9 1.19808e+01
  7   11 3.69963e+00
  7   13 1.83087e+00
  7   15 1.46246e+00
  7   17 1.26328e+00
  7   19 1.04377e+00
  7   21 9.72531e-01
  7   23 9.26449e-01
  7   25 8.30538e-01
  7   27 7.65090e-01
  7   29 7.32673e-01
  7   31 6.89678e-01
  7   33 6.90832e-01
  7   35 6.68836e-01
  7   37 6.46832e-01
  7   39 6.11544e-01
  7   41 6.14585e-01
  7   43 5.80419e-01
  7   45 5.91022e-01
  7   47 5.88280e-01
  7   49 6.45074e-01
  7   51 6.35401e-01
  7   53 6.19921e-01
  7   55 6.91643e-01
  7   57 5.94007e-01
  7   59 5.86458e-01
  7   61 5.44676e-01
  7   63 5.64940e-01
  7   65 4.62861e-01
  7   67 5.04838e-01
  7   69 4.57573e-01
  7   71 4.57813e-01
  7   73 4.32296e-01
  7   75 4.48524e-01
  7   77 5.89707e-01
  7   79 4.51858e-01
  7   81 5.72509e-01
  7   83 3.55848e-01
  7   85 5.53129e-01
  7   87 3.22863e-01
  7   89 5.36598e-01
  8    0 1.09545e-01
  8    2 6.25781e-01
  8    4 2.10703e+00
  8    6 9.29339e+00
  8    8 1.63416e+02
  8   10 1.17962e+01
  8   12 3.66534e+00
  8   14 1.79154e+00
  8   16 1.41839e+00
  8   18 1.22737e+00
  8   20 1.03423e+00
  8   22 9.74742e-01
  8   24 9.01184e-01
  8   26 8.02692e-01
  8   28 7.61760e-01
  8   30 7.25548e-01
  8   32 6.79808e-01
  8   34 6.90169e-01
  8   36 6.65128e-01
  8   38 6.17900e-01
  8   40 6.08259e-01
  8   42 6.05399e-01
  8   44 6.13132e-01
  8   46 5.93890e-01
  8   48 6.03711e-01
  8   50 6.43321e-01
  8   52 5.77000e-01
  8   54 6.08186e-01
  8   56 6.69034e-01
  8   58 6.03601e-01
  8   60 5.75686e-01
  8   62 5.15305e-01
  8   64 5.54953e-01
  8   66 4.73823e-01
  8   68 5.28009e-01
  8   70 4.61420e-01
  8   72 4.50969e-01
  8   74 4.11896e-01
  8   76 4.51273e-01
  8   78 5.55208e-01
  8   80 4.46375e-01
  8   82 5.60046e-01
  8   84 3.46251e-01
  8   86 5.20729e-01
  8   88 2.91024e-01
  8   90 5.27826e-01
  9    1 2.90695e-01
  9    3 7.37173e-01
  9    5 2.26465e+00
  9    7 9.46441e+00
  9    9 1.42181e+02
  9   11 1.11150e+01
  9   13 3.31048e+00
  9   15 1.56724e+00
  9   17 1.24436e+00
  9   19 1.10810e+00
  9   21 9.19556e-01
  9   23 8.78802e-01
  9   25 8.01932e-01
  9   27 7.05064e-01
  9   29 6.74198e-01
  9   31 6.34368e-01
  9   33 6.19986e-01
  9   35 6.27594e-01
  9   37 5.76334e-01
  9   39 5.63571e-01
  9   41 5.86818e-01
  9   43 5.32151e-01
  9   45 5.74921e-01
  9   47 6.15625e-01
  9   49 5.73362e-01
  9   51 5.66755e-01
  9   53 5.59829e-01
  9   55 6.02597e-01
  9   57 5.66951e-01
  9   59 5.06901e-01
  9   61 5.32652e-01
  9   63 5.11791e-01
  9   65 4.89712e-01
  9   67 4.90251e-01
  9   69 4.53792e-01
  9   71 4.05122e-01
  9   73 4.73211e-01
  9   75 3.88095e-01
  9   77 4.76462e-01
  9   79 4.20930e-01
  9   81 4.76812e-01
  9   83 3.44246e-01
  9   85 5.14392e-01
  9   87 2.67188e-01
  9   89 4.90101e-01
 10    0 8.18406e-02
 10    2 3.90795e-01
 10    4 8.22383e-01
 10    6 2.35310e+00
 10    8 9.55596e+00
 10   10 1.26384e+02
 10   12 1.05047e+01
 10   14 3.13818e+00
 10   16 1.39307e+00
 10   18 1.13283e+00
 10   20 9.82138e-01
 10   22 7.94687e-01
 10   24 7.80921e-01
 10   26 7.15525e-01
 10   28 6.32493e-01
 10   30 6.35691e-01
 10   32 5.53314e-01
 10   34 5.41725e-01
 10   36 5.18487e-01
 10   38 5.34896e-01
 10   40 5.03149e-01
 10   42 5.28822e-01
 10   44 5.06246e-01
 10   46 5.30604e-01
 10   48 5.31368e-01
 10   50 5.03302e-01
 10   52 4.92036e-01
 10   54 4.84320e-01
 10   56 5.35907e-01
 10   58 4.94577e-01
 10   60 4.55799e-01
 10   62 4.63927e-01
 10   64 4.45665e-01
 10   66 4.45667e-01
 10   68 4.39831e-01
 10   70 4.10600e-01
 10   72 3.43057e-01
 10   74 3.97406e-01
 10   76 3.27419e-01
 10   78 3.97565e-01
 10   80 3.50586e-01
 10   82 4.17592e-01
 10   84 2.93711e-01
 10   86 4.15897e-01
 10   88 2.33551e-01
 10   90 3.34462e-01
 11    1 1.93114e-01
 11    3 4.95225e-01
 11    5 9.12904e-01
 11    7 2.41618e+00
 11    9 9.18907e+00
 11   11 1.13770e+02
 11   13 9.83547e+00
 11   15 2.94252e+00
 11   17 1.31162e+00
 11   19 1.04268e+00
 11   21 9.38067e-01
 11   23 7.41258e-01
 11   25 7.12372e-01
 11   27 6.69262e-01
 11   29 5.78167e-01
 11   31 5.31965e-01
 11   33 5.12545e-01
 11   35 4.86049e-01
 11   37 4.91810e-01
 11   39 4.88408e-01
 11   41 4.95839e-01
 11   43 4.67372e-01
 11   45 4.68423e-01
 11   47 5.17354e-01
 11   49 4.76749e-01
 11   51 4.37496e-01
 11   53 4.51091e-01
 11   55 4.45720e-01
 11   57 4.75101e-01
 11   59 4.20956e-01
 11   61 4.11959e-01
 11   63 4.16694e-01
 11   65 4.30400e-01
 11   67 4.15756e-01
 11   69 3.99844e-01
 11   71 3.15476e-01
 11   73 4.14857e-01
 11   75 3.24241e-01
 11   77 3.66707e-01
 11   79 3.09658e-01
 11   81 3.45171e-01
 11   83 3.02124e-01
 11   85 3.26239e-01
 11   87 2.30066e-01
 11   89 2.85678e-01
 12    0 4.62822e-02
 12    2 2.78267e-01
 12    4 5.60311e-01
 12    6 9.62212e-01
 12    8 2.49629e+00
 12   10 8.83140e+00
