# 13C+CO2(ji) -> 13C+CO2(jf) molscat cross sections, CS8_JMAX90 approx. (written on 08/08/2023); 
# E=4240.000000 (1/cm) = 0.5256929969474514 eV
# ji  jf sigma(ji,jf) (1e-16 cm^2)
  1    1 2.39501e+02
  1    3 3.00755e+01
  1    5 1.26457e+01
  1    7 8.95270e+00
  1    9 5.62379e+00
  1   11 3.47474e+00
  1   13 2.38340e+00
  1   15 1.69237e+00
  1   17 1.60620e+00
  1   19 1.49222e+00
  1   21 1.21343e+00
  1   23 1.20477e+00
  1   25 1.27398e+00
  1   27 1.09315e+00
  1   29 9.61176e-01
  1   31 1.00687e+00
  1   33 9.87310e-01
  1   35 8.97139e-01
  1   37 8.48839e-01
  1   39 8.77587e-01
  1   41 8.52148e-01
  1   43 7.89870e-01
  1   45 7.58097e-01
  1   47 7.30330e-01
  1   49 6.36742e-01
  1   51 6.04808e-01
  1   53 5.99803e-01
  1   55 5.87120e-01
  1   57 4.98727e-01
  1   59 5.04081e-01
  1   61 4.87407e-01
  1   63 4.76815e-01
  1   65 4.36951e-01
  1   67 4.11249e-01
  1   69 4.29970e-01
  1   71 4.01272e-01
  1   73 3.95626e-01
  1   75 3.17908e-01
  1   77 2.97475e-01
  1   79 3.09866e-01
  1   81 2.89295e-01
  1   83 3.37818e-01
  1   85 2.39608e-01
  1   87 1.46970e-01
  1   89 5.08874e-02
  1   91 1.59588e-02
  2    2 2.51735e+02
  2    4 2.36427e+01
  2    6 1.11440e+01
  2    8 7.45458e+00
  2   10 4.61227e+00
  2   12 2.95512e+00
  2   14 2.06590e+00
  2   16 1.66945e+00
  2   18 1.55859e+00
  2   20 1.35156e+00
  2   22 1.19687e+00
  2   24 1.23078e+00
  2   26 1.18691e+00
  2   28 1.03488e+00
  2   30 9.80255e-01
  2   32 9.94762e-01
  2   34 9.55214e-01
  2   36 8.88647e-01
  2   38 8.73030e-01
  2   40 8.76073e-01
  2   42 8.16242e-01
  2   44 7.72386e-01
  2   46 7.46208e-01
  2   48 6.85047e-01
  2   50 6.11508e-01
  2   52 5.99506e-01
  2   54 6.02072e-01
  2   56 5.24336e-01
  2   58 5.07880e-01
  2   60 4.82625e-01
  2   62 4.86083e-01
  2   64 4.47241e-01
  2   66 4.32565e-01
  2   68 4.33012e-01
  2   70 4.04168e-01
  2   72 4.28017e-01
  2   74 3.44334e-01
  2   76 3.29485e-01
  2   78 3.12340e-01
  2   80 2.92777e-01
  2   82 3.60450e-01
  2   84 2.59560e-01
  2   86 1.89133e-01
  2   88 7.67148e-02
  2   90 3.24375e-02
  3    1 6.01842e+00
  3    3 2.51850e+02
  3    5 2.15210e+01
  3    7 9.87948e+00
  3    9 6.44557e+00
  3   11 4.02315e+00
  3   13 2.59788e+00
  3   15 1.95263e+00
  3   17 1.60192e+00
  3   19 1.43823e+00
  3   21 1.33370e+00
  3   23 1.23899e+00
  3   25 1.17239e+00
  3   27 1.11529e+00
  3   29 1.04259e+00
  3   31 9.84149e-01
  3   33 9.56410e-01
  3   35 9.19342e-01
  3   37 8.85188e-01
  3   39 8.60413e-01
  3   41 8.42996e-01
  3   43 7.97527e-01
  3   45 7.65335e-01
  3   47 7.15152e-01
  3   49 6.55289e-01
  3   51 6.12591e-01
  3   53 6.01237e-01
  3   55 5.82603e-01
  3   57 5.14271e-01
  3   59 5.01146e-01
  3   61 4.83303e-01
  3   63 4.77818e-01
  3   65 4.31934e-01
  3   67 4.22150e-01
  3   69 4.30579e-01
  3   71 3.93929e-01
  3   73 3.93155e-01
  3   75 3.20837e-01
  3   77 2.99939e-01
  3   79 3.09324e-01
  3   81 2.95485e-01
  3   83 3.40960e-01
  3   85 2.22567e-01
  3   87 1.42318e-01
  3   89 5.78008e-02
  3   91 2.23761e-02
  4    2 1.01419e+01
  4    4 2.52303e+02
  4    6 2.00550e+01
  4    8 8.93640e+00
  4   10 5.79355e+00
  4   12 3.60936e+00
  4   14 2.44958e+00
  4   16 1.88121e+00
  4   18 1.51343e+00
  4   20 1.40283e+00
  4   22 1.33180e+00
  4   24 1.18523e+00
  4   26 1.12353e+00
  4   28 1.10835e+00
  4   30 1.02887e+00
  4   32 9.57040e-01
  4   34 9.40167e-01
  4   36 9.24120e-01
  4   38 8.87944e-01
  4   40 8.48360e-01
  4   42 8.16618e-01
  4   44 7.82583e-01
  4   46 7.38249e-01
  4   48 6.85396e-01
  4   50 6.41237e-01
  4   52 6.12135e-01
  4   54 5.94434e-01
  4   56 5.34922e-01
  4   58 5.16003e-01
  4   60 4.86381e-01
  4   62 4.84915e-01
  4   64 4.44764e-01
  4   66 4.43189e-01
  4   68 4.29420e-01
  4   70 4.00622e-01
  4   72 4.15331e-01
  4   74 3.41717e-01
  4   76 3.30801e-01
  4   78 3.16047e-01
  4   80 2.98095e-01
  4   82 3.64846e-01
  4   84 2.49656e-01
  4   86 1.74660e-01
  4   88 7.83905e-02
  4   90 4.13930e-02
  5    1 1.40767e+00
  5    3 1.19715e+01
  5    5 2.52202e+02
  5    7 1.89918e+01
  5    9 8.30890e+00
  5   11 5.33627e+00
  5   13 3.39865e+00
  5   15 2.32763e+00
  5   17 1.76662e+00
  5   19 1.47867e+00
  5   21 1.40618e+00
  5   23 1.28914e+00
  5   25 1.14589e+00
  5   27 1.11895e+00
  5   29 1.09506e+00
  5   31 1.00647e+00
  5   33 9.42963e-01
  5   35 9.33074e-01
  5   37 9.09606e-01
  5   39 8.63626e-01
  5   41 8.33202e-01
  5   43 8.07590e-01
  5   45 7.61350e-01
  5   47 7.13064e-01
  5   49 6.72379e-01
  5   51 6.30228e-01
  5   53 6.03118e-01
  5   55 5.75311e-01
  5   57 5.32117e-01
  5   59 5.08608e-01
  5   61 4.80619e-01
  5   63 4.79231e-01
  5   65 4.31233e-01
  5   67 4.30604e-01
  5   69 4.29429e-01
  5   71 3.86446e-01
  5   73 3.90807e-01
  5   75 3.28252e-01
  5   77 3.12387e-01
  5   79 3.10750e-01
  5   81 2.96484e-01
  5   83 3.33609e-01
  5   85 2.14232e-01
  5   87 1.41274e-01
  5   89 6.01472e-02
  5   91 2.85571e-02
  6    2 3.04713e+00
  6    4 1.27835e+01
  6    6 2.52269e+02
  6    8 1.82591e+01
  6   10 7.86129e+00
  6   12 5.08248e+00
  6   14 3.23837e+00
  6   16 2.20895e+00
  6   18 1.72735e+00
  6   20 1.47481e+00
  6   22 1.35237e+00
  6   24 1.24767e+00
  6   26 1.14388e+00
  6   28 1.09896e+00
  6   30 1.06187e+00
  6   32 9.94067e-01
  6   34 9.39820e-01
  6   36 9.24485e-01
  6   38 8.95134e-01
  6   40 8.56649e-01
  6   42 8.13702e-01
  6   44 7.81413e-01
  6   46 7.36606e-01
  6   48 6.97669e-01
  6   50 6.56746e-01
  6   52 6.24226e-01
  6   54 5.82561e-01
  6   56 5.50231e-01
  6   58 5.31377e-01
  6   60 4.91690e-01
  6   62 4.90882e-01
  6   64 4.42477e-01
  6   66 4.49460e-01
  6   68 4.26329e-01
  6   70 3.96028e-01
  6   72 4.06475e-01
  6   74 3.43608e-01
  6   76 3.46716e-01
  6   78 3.21249e-01
  6   80 2.98548e-01
  6   82 3.51916e-01
  6   84 2.43655e-01
