# C+CO2(ji) -> C+CO2(jf) molscat cross sections, CS8_JMAX90 approx. (written on 08/06/2020); 
# E=40240.000000 (1/cm) = 4.98912410311 eV
# ji  jf sigma(ji,jf) (1e-16 cm^2)
  0    0 1.45650e+02
  0    2 1.62904e+01
  0    4 4.88108e+00
  0    6 2.29863e+00
  0    8 1.51017e+00
  0   10 1.77787e+00
  0   12 1.25153e+00
  0   14 1.02858e+00
  0   16 1.05691e+00
  0   18 9.36421e-01
  0   20 7.81470e-01
  0   22 7.72357e-01
  0   24 8.34226e-01
  0   26 7.11256e-01
  0   28 6.65788e-01
  0   30 6.09533e-01
  0   32 7.40250e-01
  0   34 6.26080e-01
  0   36 6.68337e-01
  0   38 5.85415e-01
  0   40 6.08274e-01
  0   42 5.26079e-01
  0   44 5.96411e-01
  0   46 7.33982e-01
  0   48 7.42741e-01
  0   50 6.33558e-01
  0   52 6.59207e-01
  0   54 5.59825e-01
  0   56 5.53897e-01
  0   58 4.27180e-01
  0   60 4.38451e-01
  0   62 3.93198e-01
  0   64 3.75134e-01
  0   66 5.08745e-01
  0   68 5.49528e-01
  0   70 5.05104e-01
  0   72 6.87303e-01
  0   74 3.79680e-01
  0   76 3.33194e-01
  0   78 2.88197e-01
  0   80 2.18981e-01
  0   82 3.32525e-01
  0   84 2.93783e-01
  0   86 4.22797e-01
  0   88 2.78965e-01
  0   90 2.65712e-01
  1    1 1.52076e+02
  1    3 1.18996e+01
  1    5 3.78634e+00
  1    7 1.89012e+00
  1    9 1.66994e+00
  1   11 1.57317e+00
  1   13 1.14869e+00
  1   15 1.11079e+00
  1   17 1.08457e+00
  1   19 8.24323e-01
  1   21 7.76286e-01
  1   23 8.23160e-01
  1   25 7.62835e-01
  1   27 7.17953e-01
  1   29 6.89317e-01
  1   31 6.87124e-01
  1   33 6.30385e-01
  1   35 6.07510e-01
  1   37 6.19804e-01
  1   39 6.10533e-01
  1   41 5.77980e-01
  1   43 5.80276e-01
  1   45 6.70583e-01
  1   47 7.58483e-01
  1   49 6.85976e-01
  1   51 6.04889e-01
  1   53 5.62289e-01
  1   55 5.39448e-01
  1   57 5.00459e-01
  1   59 4.75063e-01
  1   61 4.17876e-01
  1   63 4.17115e-01
  1   65 4.48840e-01
  1   67 5.21266e-01
  1   69 5.22115e-01
  1   71 5.05658e-01
  1   73 5.94888e-01
  1   75 4.05648e-01
  1   77 3.28100e-01
  1   79 2.47078e-01
  1   81 2.32760e-01
  1   83 3.77071e-01
  1   85 2.80449e-01
  1   87 3.02218e-01
  1   89 2.84262e-01
  2    0 3.25827e+00
  2    2 1.51668e+02
  2    4 1.03761e+01
  2    6 3.24376e+00
  2    8 1.97155e+00
  2   10 1.56793e+00
  2   12 1.40551e+00
  2   14 1.18440e+00
  2   16 1.02827e+00
  2   18 1.00683e+00
  2   20 8.32919e-01
  2   22 8.56321e-01
  2   24 7.21734e-01
  2   26 7.58800e-01
  2   28 6.50831e-01
  2   30 6.97328e-01
  2   32 7.14166e-01
  2   34 6.39298e-01
  2   36 6.63800e-01
  2   38 5.81793e-01
  2   40 6.18539e-01
  2   42 5.80745e-01
